latitude,longitude,month,temperature_max,temperature_min,humidity_mean,cloud_cover_mean,windspeed_max,windgusts_max,precipitation_total,precipitation_hours,sunshine_hours,solar_radiation_GHI,daylight_hours,month,ac_output,dc_output,solrad,tilt,azimuth,module_type,array_type
40.73061,-73.935242,1,8.65,0.99,76.9,70.61,21.78,35.85,114.9,136.0,147.59,193.43,9.64,1,50.4980543393245,53.65002204603673,1.95050584345351,30,270,0,1
40.73061,-73.935242,2,8.0,-1.25,68.43,60.71,25.04,39.84,51.9,75.0,183.98,287.23,10.66,2,68.5351336876556,72.32181605032027,2.935967773474699,30,270,0,1
40.73061,-73.935242,3,9.82,0.76,68.61,62.13,26.16,42.21,128.5,124.0,231.49,442.57,11.95,3,91.70412220578498,96.67286822680533,3.62985634775653,30,270,0,1
40.73061,-73.935242,4,17.6,7.69,69.1,62.13,23.16,38.97,141.5,102.0,265.62,535.44,13.31,4,99.39406505289709,104.764060573288,4.200263741284661,30,270,0,1
40.73061,-73.935242,5,21.06,10.34,61.94,43.06,21.68,36.61,35.1,55.0,374.92,775.71,14.46,5,132.3949092413733,139.197480950325,5.505862149293183,30,270,0,1
40.73061,-73.935242,6,25.52,15.63,69.2,59.57,21.55,37.45,94.8,97.0,323.29,640.32,15.04,6,132.1687593685354,138.8989388626659,5.842060393212825,30,270,0,1
40.73061,-73.935242,7,29.36,20.42,78.45,51.94,19.53,33.47,146.4,163.0,362.07,687.58,14.76,7,136.4864112296928,143.4443275969734,5.911036706486496,30,270,0,1
40.73061,-73.935242,8,27.51,18.67,73.84,56.61,20.27,34.16,144.2,128.0,327.53,602.92,13.76,8,121.8847787880991,128.2313404910832,5.266275146408064,30,270,0,1
40.73061,-73.935242,9,24.83,16.09,77.27,62.97,19.56,32.49,249.0,169.0,232.49,436.23,12.46,9,91.42957673116689,96.38147936921601,4.04476941306117,30,270,0,1
40.73061,-73.935242,10,19.37,10.32,77.9,49.35,18.78,30.64,109.7,100.0,241.48,369.58,11.12,10,77.20349230834807,81.53233921014045,3.155041626371532,30,270,0,1
40.73061,-73.935242,11,11.09,1.84,72.27,41.87,20.74,33.14,54.4,52.0,220.54,270.52,9.93,11,54.07698861251384,57.2995271644054,2.211313111615837,30,270,0,1
40.73061,-73.935242,12,9.18,1.22,79.13,60.9,18.97,31.27,209.3,119.0,157.7,185.44,9.31,12,40.87304209527613,43.57542494557869,1.597764217669699,30,270,0,1
34.052235,-118.243683,1,15.63,6.35,73.74,53.29,15.97,27.85,258.8,166.0,202.99,294.85,10.18,1,74.83249101310591,78.96667518607228,3.073312443851268,30,270,0,1
34.052235,-118.243683,2,17.28,5.42,59.36,50.57,18.73,32.6,126.8,99.0,229.98,373.14,10.97,2,80.94325356679624,85.19938566076146,3.722634196782998,30,270,0,1
34.052235,-118.243683,3,16.19,7.62,77.0,68.52,17.56,32.11,204.2,218.0,244.16,474.55,11.99,3,116.4945560546896,122.4142334716357,4.891993602537821,30,270,0,1
34.052235,-118.243683,4,21.89,9.99,70.5,49.03,17.97,34.62,4.3,29.0,308.68,703.01,13.05,4,137.8675825085795,144.6110546904487,6.041804754331118,30,270,0,1
34.052235,-118.243683,5,22.03,12.33,73.65,63.35,17.54,34.7,24.5,80.0,298.15,666.69,13.94,5,148.2668375739274,155.6241460522601,6.359625843424089,30,270,0,1
34.052235,-118.243683,6,23.86,14.01,70.6,51.47,18.0,35.49,4.8,38.0,312.95,713.09,14.39,6,170.1683614467875,178.3023551046548,7.601989324011151,30,270,0,1
34.052235,-118.243683,7,31.7,16.64,64.9,25.23,19.78,36.76,0.0,0.0,376.51,840.29,14.16,7,173.4835052569691,181.7987339370271,7.575930675647588,30,270,0,1
34.052235,-118.243683,8,30.02,17.56,72.68,27.65,19.71,35.54,86.0,39.0,339.72,738.47,13.39,8,160.9177786631172,168.664347451758,7.02535662484006,30,270,0,1
34.052235,-118.243683,9,27.43,16.88,73.2,47.43,18.4,33.81,50.2,52.0,275.03,547.16,12.38,9,133.8373099527422,140.3632118496386,5.983850675199375,30,270,0,1
34.052235,-118.243683,10,28.18,14.72,58.68,21.42,16.42,29.41,2.3,18.0,313.55,498.2,11.32,10,103.0177080857169,108.3241075415444,4.406319396194367,30,270,0,1
34.052235,-118.243683,11,23.99,10.46,48.07,36.2,15.71,26.28,28.3,41.0,267.53,382.8,10.4,11,78.15678717657548,82.41250281159815,3.434570100750582,30,270,0,1
34.052235,-118.243683,12,20.38,9.8,59.9,58.77,13.07,22.24,178.8,85.0,226.27,303.9,9.93,12,63.1680784316397,66.86573161480455,2.62656208779364,30,270,0,1
41.881832,-87.623177,1,2.94,-3.28,82.16,86.39,24.69,36.85,64.9,152.0,95.48,172.95,9.54,1,42.24840419976142,45.15562335382117,1.637240652622228,30,270,0,1
41.881832,-87.623177,2,5.0,-4.02,71.43,52.04,30.67,45.93,90.2,80.0,215.66,318.22,10.6,2,59.14422638068439,62.56628839294822,2.522880697853053,30,270,0,1
41.881832,-87.623177,3,6.52,-0.89,74.19,72.03,28.95,43.48,84.8,130.0,214.01,417.15,11.95,3,86.7276691779803,91.51554981454328,3.391184368045464,30,270,0,1
41.881832,-87.623177,4,15.06,4.37,67.43,58.83,27.67,43.14,71.3,116.0,272.7,554.59,13.36,4,108.1310774590619,113.8123619962652,4.475336762940848,30,270,0,1
41.881832,-87.623177,5,18.93,9.36,69.16,59.19,24.03,38.77,47.1,67.0,321.99,707.88,14.56,5,128.2894730084014,134.9464409076249,5.322027319531838,30,270,0,1
41.881832,-87.623177,6,24.22,15.07,68.9,44.97,24.39,41.21,62.0,60.0,357.29,758.35,15.17,6,135.5244331250149,142.4608323014616,5.877462478439625,30,270,0,1
41.881832,-87.623177,7,26.42,18.33,78.16,45.42,20.66,35.82,308.5,117.0,365.02,721.38,14.87,7,144.8583570049435,152.1193456886863,6.187444992242033,30,270,0,1
41.881832,-87.623177,8,25.71,18.28,77.84,48.74,22.75,36.87,111.9,102.0,330.26,636.03,13.82,8,120.8304217789501,127.1760257810832,5.160389976945962,30,270,0,1
41.881832,-87.623177,9,22.87,15.97,77.57,52.53,20.96,33.26,170.0,125.0,249.75,461.2,12.48,9,99.80389744114709,105.0711794852299,4.29883298237437,30,270,0,1
41.881832,-87.623177,10,16.28,9.12,75.29,58.97,26.13,39.58,126.2,187.0,199.36,322.19,11.07,10,71.92847091996715,76.05809984198459,2.906825360200372,30,270,0,1
41.881832,-87.623177,11,9.47,1.55,71.57,53.1,24.77,37.79,35.0,55.0,210.33,258.29,9.84,11,44.91946951554216,47.78629088608266,1.83675002129659,30,270,0,1
41.881832,-87.623177,12,6.25,0.49,79.61,72.1,22.69,33.69,73.5,143.0,119.25,151.98,9.19,12,35.85614346488781,38.39849112134927,1.408908946270076,30,270,0,1
29.749907,-95.358421,1,19.04,10.27,77.16,54.48,22.72,39.3,188.2,150.0,189.98,309.67,10.48,1,68.47731402561203,72.45994242408337,2.808610137149179,30,270,0,1
29.749907,-95.358421,2,20.8,10.8,79.61,70.25,23.59,39.94,49.6,120.0,201.43,357.51,11.15,2,68.3448048997181,72.23322491943789,3.137797762431791,30,270,0,1
29.749907,-95.358421,3,23.86,15.31,74.19,71.1,25.71,44.05,146.5,160.0,222.63,477.59,12.0,3,109.2210747418239,114.7964904049428,4.562780747092988,30,270,0,1
29.749907,-95.358421,4,24.67,15.59,77.4,65.23,22.41,38.99,209.0,153.0,235.29,542.31,12.9,4,117.7037857021932,123.7545076565566,5.181455739098605,30,270,0,1
29.749907,-95.358421,5,28.59,19.96,80.9,69.87,18.15,32.87,190.1,180.0,263.43,602.51,13.65,5,136.9151903357379,143.7483805660655,5.967557592862683,30,270,0,1
29.749907,-95.358421,6,34.15,24.0,74.6,44.6,20.11,36.6,83.7,62.0,344.25,744.05,14.02,6,135.72906745054,142.4876898912835,6.152748925480297,30,270,0,1
29.749907,-95.358421,7,35.25,25.64,71.94,36.81,18.79,33.11,42.0,91.0,374.76,765.81,13.84,7,134.9697627703537,141.731820671416,5.973964405740607,30,270,0,1
29.749907,-95.358421,8,38.24,27.03,59.03,28.39,22.11,38.78,3.1,21.0,371.15,762.08,13.19,8,115.0975356532404,121.1208027491366,5.10600166361066,30,270,0,1
29.749907,-95.358421,9,34.1,24.26,69.6,29.17,16.98,32.09,100.8,89.0,322.15,612.18,12.34,9,102.2170795119942,107.5946292406966,4.647749183612411,30,270,0,1
29.749907,-95.358421,10,26.61,18.08,71.97,52.42,20.89,36.23,158.3,147.0,251.51,465.52,11.44,10,94.05881664956148,99.06850052306451,4.040509538825743,30,270,0,1
29.749907,-95.358421,11,20.72,12.17,75.23,71.67,18.39,32.1,137.3,102.0,192.45,322.84,10.67,11,72.3624408838108,76.35761111512875,3.121118319001398,30,270,0,1
29.749907,-95.358421,12,18.79,9.35,72.61,57.23,18.6,31.99,144.5,70.0,237.96,355.65,10.27,12,61.38132880286416,64.99226297838509,2.503349557537043,30,270,0,1
33.448376,-112.074036,1,16.0,4.72,64.84,48.74,14.48,24.74,67.5,74.0,231.05,338.67,10.23,1,77.3254880769255,81.49769760963866,3.262261838694084,30,270,0,1
33.448376,-112.074036,2,19.07,5.97,46.89,36.89,21.15,35.65,26.5,36.0,250.2,424.54,11.0,2,88.21149557831717,92.81019240763925,4.070186130022319,30,270,0,1
