latitude,longitude,month,temperature_max,temperature_min,humidity_mean,cloud_cover_mean,windspeed_max,windgusts_max,precipitation_total,precipitation_hours,sunshine_hours,solar_radiation_GHI,daylight_hours
40.73061,-73.935242,1,8.65,0.99,76.9,70.61,21.78,35.85,114.9,136.0,147.59,193.43,9.64
40.73061,-73.935242,2,8.0,-1.25,68.43,60.71,25.04,39.84,51.9,75.0,183.98,287.23,10.66
40.73061,-73.935242,3,9.82,0.76,68.61,62.13,26.16,42.21,128.5,124.0,231.49,442.57,11.95
40.73061,-73.935242,4,17.6,7.69,69.1,62.13,23.16,38.97,141.5,102.0,265.62,535.44,13.31
40.73061,-73.935242,5,21.06,10.34,61.94,43.06,21.68,36.61,35.1,55.0,374.92,775.71,14.46
40.73061,-73.935242,6,25.52,15.63,69.2,59.57,21.55,37.45,94.8,97.0,323.29,640.32,15.04
40.73061,-73.935242,7,29.36,20.42,78.45,51.94,19.53,33.47,146.4,163.0,362.07,687.58,14.76
40.73061,-73.935242,8,27.51,18.67,73.84,56.61,20.27,34.16,144.2,128.0,327.53,602.92,13.76
40.73061,-73.935242,9,24.83,16.09,77.27,62.97,19.56,32.49,249.0,169.0,232.49,436.23,12.46
40.73061,-73.935242,10,19.37,10.32,77.9,49.35,18.78,30.64,109.7,100.0,241.48,369.58,11.12
40.73061,-73.935242,11,11.09,1.84,72.27,41.87,20.74,33.14,54.4,52.0,220.54,270.52,9.93
40.73061,-73.935242,12,9.18,1.22,79.13,60.9,18.97,31.27,209.3,119.0,157.7,185.44,9.31
34.052235,-118.243683,1,15.63,6.35,73.74,53.29,15.97,27.85,258.8,166.0,202.99,294.85,10.18
34.052235,-118.243683,2,17.28,5.42,59.36,50.57,18.73,32.6,126.8,99.0,229.98,373.14,10.97
34.052235,-118.243683,3,16.19,7.62,77.0,68.52,17.56,32.11,204.2,218.0,244.16,474.55,11.99
34.052235,-118.243683,4,21.89,9.99,70.5,49.03,17.97,34.62,4.3,29.0,308.68,703.01,13.05
34.052235,-118.243683,5,22.03,12.33,73.65,63.35,17.54,34.7,24.5,80.0,298.15,666.69,13.94
34.052235,-118.243683,6,23.86,14.01,70.6,51.47,18.0,35.49,4.8,38.0,312.95,713.09,14.39
34.052235,-118.243683,7,31.7,16.64,64.9,25.23,19.78,36.76,0.0,0.0,376.51,840.29,14.16
